Lambda,acc,mse_krr,mse_lrr,mse_nn
1,0.8733333333333333,105.27691914876301,105.72253560384115,105.48652682834202
2,0.86,104.75226318359375,105.46752617730034,105.44317687988281
3,0.8641666666666666,105.48443868001301,104.58233866373698,105.32060804578992
4,0.8725,105.35583211263021,104.65707316080729,105.38219814724393
5,0.85,104.57566419813368,106.03134406195747,105.39415466308594
6,0.8516666666666667,105.53301751030816,104.65539706759982,105.34507819281684
7,0.8558333333333333,104.78123202853733,105.73766615125868,105.46153971354167
8,0.8483333333333334,106.37875311957465,105.63744418674044,105.42476291232639
9,0.8583333333333333,104.84882358127169,105.79881876627604,105.48048645019531
11,0.8491666666666666,105.04667297363282,104.57485344780817,105.35691819932727
12,0.835,104.7363863796658,105.57014709472656,105.28950927734375
13,0.8558333333333333,104.5426254611545,106.18715989854601,105.28483947753907
15,0.8658333333333333,104.70624518500435,105.58663296169705,105.51818752712673
16,0.8491666666666666,104.7430785454644,105.6431723361545,105.35563585069445
18,0.8566666666666667,104.63450839572482,105.78570488823785,105.54141343858507
19,0.8566666666666667,104.5744105360243,105.63762702094184,105.36596761067709
20,0.8358333333333333,105.23427503797744,105.67483900282119,105.41545179578992
22,0.8608333333333333,104.80774726019966,105.57634338378907,105.35515591091581
23,0.8433333333333334,105.62509670681425,105.77326897515191,105.41249247233073
24,0.8583333333333333,104.51015957302518,105.54824259440105,105.41672309027778
25,0.8508333333333333,104.71853190104167,105.62473076714409,105.35797587076823
26,0.8466666666666667,104.6263079155816,105.53521484375,105.41152459038628
27,0.8616666666666667,104.58277282714843,105.77031622992622,105.38216966417102
28,0.8583333333333333,105.26022691514758,105.73124484592014,105.44780083550347
30,0.855,105.06381008572049,105.75283718532987,105.46551289876302
31,0.835,105.31476555718315,105.57726725260417,105.47053500705294
32,0.8441666666666666,104.70305440266928,105.5708251953125,105.46108893500434
33,0.85,105.44147908528646,105.62112094455296,105.48841044108073
34,0.8616666666666667,104.67624477810331,105.59208530002171,105.32687649197048
35,0.85,104.53126668294271,105.56717787000868,105.46162923177083
36,0.8225,105.10082105848524,105.83670369466145,105.48599114312066
37,0.8483333333333334,104.74049275716146,105.58168287489151,105.36891472710502
38,0.8475,105.3470751953125,105.60185438368056,105.43711947970921
39,0.8416666666666667,105.8292057969835,105.7381930202908,105.59139112684461
40,0.8525,106.08844122992622,105.63291714138455,105.3771592203776
42,0.86,104.92070142957898,105.68011569552951,105.43702365451388
43,0.845,105.45811197916667,105.83397759331596,105.32003784179688
44,0.8625,104.54386840820312,105.67835259331596,105.39407911512586
45,0.8625,104.7271086968316,105.59740566677519,105.43377278645833
46,0.8508333333333333,104.72179050021701,105.65912041558158,105.44906921386719
47,0.86,105.6640835232205,105.59761488172742,105.43654059516058
48,0.7808333333333334,105.59958218044704,106.29883205837673,105.46116773817273
50,0.8666666666666667,105.2689111328125,105.79497721354167,105.45135721842448
51,0.84,106.30823560926649,105.52909959581163,105.46764811197917
53,0.8391666666666666,105.24302585177952,105.6522939046224,105.38837870279949
54,0.8441666666666666,104.71717054578994,105.62938835991754,105.36747992621528
55,0.8433333333333334,105.29851704915365,105.76535400390625,105.49097832573784
56,0.8558333333333333,104.50247511121962,105.77120137532552,105.47202907986112
57,0.8408333333333333,104.46383978949653,105.63685899522571,105.46055399576822
59,0.8541666666666666,105.1770315890842,105.66539788140192,105.3906553141276
60,0.8325,105.42892367892794,105.83902750651042,105.451021999783
61,0.84,104.45163377549913,105.56653564453126,105.41769911024305
62,0.8466666666666667,104.53210679796007,105.58371629503038,105.44309719509549
63,0.8333333333333334,104.75273037380641,105.67113952636718,105.4163277859158
65,0.8283333333333334,104.71470845540365,105.58232869466146,105.41516587999132
66,0.8483333333333334,104.50825636121961,105.57781256781684,105.4532885064019
67,0.85,105.58176188151042,105.80248847113715,105.48053880479601
68,0.8566666666666667,104.88636149088542,105.90960666232638,105.41507310655382
69,0.835,105.35559475368923,105.85551595052084,105.19085218641493
70,0.8525,105.7277889675564,105.83552619086372,105.360037367079
71,0.8533333333333334,105.19927958170572,105.70806837293837,105.47089124891492
72,0.8658333333333333,104.37434956868489,105.70564704047308,105.56337666829427
73,0.8491666666666666,104.69371893988715,105.70021796332466,105.4007453748915
74,0.8458333333333333,104.56927476671007,105.60480997721355,105.37256503634981
77,0.7808333333333334,105.59898057725695,105.8957889811198,105.44940483940971
78,0.8641666666666666,105.49545010036893,105.58260586208768,105.39980211046007
79,0.86,106.20252807617187,105.66688551161025,105.41253621419271
80,0.8516666666666667,104.70518113878039,105.61599453396268,105.38029758029514
81,0.855,105.40158257378472,105.6373120795356,105.3954958767361
82,0.8591666666666666,104.95602362738715,105.67351087782117,105.46187947591146
83,0.8491666666666666,104.62364284939235,105.61759256998698,105.42160393608941
85,0.86,104.91011271158854,105.6429271782769,105.4736708577474
86,0.8508333333333333,104.8841249593099,105.56645378960503,105.40320943196615
87,0.8375,105.38535502115886,105.83409091525608,105.45905280219185
88,0.8341666666666666,104.84340725368925,105.84629740397135,105.4360002983941
90,0.8683333333333333,104.61810506184896,105.70228054470486,105.43519904242622
100,0.8583333333333333,104.72118374294705,105.61197597927519,105.44057990180121
