Lambda,acc,mse_krr,mse_lrr,mse_nn
0.01,0.6830675262979301,5.068665152432665,30.168748931264464,0.8147263145618967
0.1,0.8652867322701052,0.9439276354140421,3.2833989535407615,0.7940095312046492
1.0,0.8693586698337292,2.298266958561431,0.9956342626452789,0.627538413324698
2.0,0.9043094672548354,1.0171788139797195,1.1757313940818133,0.7222569601330466
3.0,0.8880217170003394,1.1898735032817818,1.191416405448617,0.5940438841215151
4.0,0.8659653885307091,0.6640181900798441,1.8981081215362074,0.5790806391055694
5.0,0.8764845605700713,0.8208166827620365,0.7673917404830025,0.5864652995298327
6.0,0.8927723108245673,0.8848478500022283,0.6344822713816227,0.5669604375975171
7.0,0.8656260604004072,2.417602885374779,1.733661282328737,0.5768496600283943
8.0,0.8954869358669834,1.0616307825674371,0.9117428913875129,0.5798539742190536
9.0,0.9015948422124194,0.8770829389856726,2.0258309358341706,0.5763453947460364
10.0,0.8863250763488293,3.809004255256837,1.333085497831944,0.5612474560140523
11.0,0.9036308109942314,2.237628894479165,1.4853089463885025,0.5905792187024047
12.0,0.8795385137427892,1.2861290098458174,0.9135552146509244,0.5717650014357224
13.0,0.8734306073973532,1.3180754564450339,1.1331445702875351,0.577419925197841
14.0,0.8751272480488632,1.3159512251491428,0.7673543843287184,0.5754052009600877
15.0,0.8540889039701391,1.5144888669761858,0.7769661164807242,0.5549114406341836
16.0,0.9063454360366474,1.121411432254066,1.029891186548821,0.5613650800895984
17.0,0.8591788259246692,3.409611433784955,1.2073043963625232,0.5836247954910547
18.0,0.8758059043094673,2.2161009903998146,1.2181680484895387,0.6168817665763389
19.0,0.8870037326094333,0.988124109256925,0.9021675691776274,0.5714351984842405
20.0,0.8995588734306074,1.6701681503381478,0.8261383618482527,0.5712180121886139
21.0,0.834068544282321,1.367485357256022,1.0248390561343628,0.6068102813224693
22.0,0.8863250763488293,0.8159790486225162,1.021558855613732,0.5634784957320822
23.0,0.8988802171700034,9.461021715042197,1.5439047443446803,0.635270121980361
24.0,0.8598574821852731,1.8717235218177875,1.2696190246207881,0.5632270838291443
25.0,0.8649474041398032,5.424401947902371,0.8847266852993269,0.5988816874561806
26.0,0.8951476077366813,1.2040758111770475,0.9085806466583937,0.5681356453546572
27.0,0.8802171700033933,0.824349293172126,0.8304512880572527,0.5855902174487326
28.0,0.8612147947064812,1.0121647786377967,0.9958156906329151,0.5495309118631827
29.0,0.8737699355276553,1.1816050544505123,0.9162942774936856,0.5882237645753488
30.0,0.9039701391245334,4.485842627373808,0.8413111922296606,0.5517421025731668
31.0,0.8829317950458093,2.3570468922007812,1.256622535226068,0.563905954551947
32.0,0.5839837122497455,0.7466578210458819,1.4156287028046648,0.7088662433781271
33.0,0.8917543264336614,1.919588250651361,0.6399013576733342,0.6249750779930768
34.0,0.8866644044791313,0.5578386214054029,0.617314388903195,0.5908160634876645
35.0,0.8975229046487954,4.540289086529294,0.6881066125273775,0.5858120358439005
36.0,0.5666779776043434,0.5943269023604424,1.0103461551660415,0.6011091808203171
37.0,0.8238887003732609,8.376865964394685,0.9479977162995704,0.5976872133471064
38.0,0.9205972175093315,4.769342948597828,1.2464278750781055,0.5553042572119095
39.0,0.8764845605700713,0.9552962219701916,0.9918260690850789,0.5860817241442889
40.0,0.9080420766881574,1.8534762000599536,1.5292004435152498,0.6317766438345582
41.0,0.8954869358669834,2.764211494983168,0.8748831130262855,0.5622826779455888
42.0,0.8866644044791313,1.9815155845313195,1.0715711676685116,0.5941986344699794
43.0,0.8971835765184933,0.6943499245261264,0.7315727668114121,0.5953114533911035
44.0,0.8836104513064132,2.361359157347795,1.1230723786849794,0.5531381437769343
45.0,0.8683406854428232,0.8904891986089828,1.4906194788143883,0.5467923803401623
46.0,0.8700373260943333,2.4316065711507298,0.8036541207798735,0.5644733185711971
47.0,0.7434679334916865,0.7323978368840223,1.1447129262071178,0.5720595930415232
48.0,0.8948082796063793,2.0554772888487567,1.4573220386271395,0.5596389073107053
49.0,0.8741092636579573,1.0533952752229785,0.8078565008627486,0.5610984404407129
50.0,0.8876823888700374,2.359704550071246,1.3393019286511654,0.6889828964079555
51.0,0.8564642008822532,3.489915069562061,1.4557085363715112,0.5607682476586363
52.0,0.8676620291822192,1.13288659654763,0.6789522415303975,0.5670648212408917
53.0,0.8710553104852392,0.7660057045836919,1.4002247046696672,0.5875716140950337
54.0,0.8798778418730913,1.4314367997320683,1.0690012485972533,0.5794475997393844
55.0,0.8941296233457754,1.3187923721253263,1.6271279019526341,0.6065636945339484
56.0,0.8853070919579233,0.7688941146990682,0.6370175452891275,0.5702207105874587
57.0,0.505598914149983,0.9592977960569248,2.0761899953600986,0.6203948436220112
58.0,0.8849677638276213,0.7827103960452886,1.104942733664841,0.5850744516590466
59.0,0.8456057007125891,1.2412641855670659,1.274252991359083,0.5647629290290392
60.0,0.8411944350186631,1.1398917538897533,0.8517289097027657,0.5718955186565636
61.0,0.8853070919579233,0.7601777296723817,1.271590833492688,0.6086980793822019
62.0,0.8686800135731252,1.2399497891811164,0.7010818684819047,0.5898049974616292
63.0,0.9093993892093655,1.1150259766922963,1.90140387874421,0.587611022236489
64.0,0.8808958262639973,0.6186643292040024,1.6494039234907931,0.6685223648030354
65.0,0.8887003732609433,0.9370468477083809,1.1960484324648115,0.5966174746028214
66.0,0.8588394977943672,1.43835124381387,1.0375998673738738,0.6221355241001916
67.0,0.8517136070580251,1.1897808792361968,1.0713819431671014,0.5857480898770899
68.0,0.8696979979640312,0.7919036860006317,0.5529535684238417,0.5772592060945442
69.0,0.8944689514760774,0.5406886305323995,0.6716886509062718,0.5822982719877134
70.0,0.8839497794367153,1.2262792812118273,0.634161294112901,0.5607324313675034
71.0,0.9002375296912114,2.142261451933165,1.1836548790881796,0.592138369510655
72.0,0.8893790295215473,2.821262353801661,1.1457423122781312,0.5589445015280902
73.0,0.841533763148965,2.0178314581965733,1.1466646521646575,0.5752080464497027
74.0,0.8717339667458432,0.6511043230311648,0.7279999742732747,0.5951967051282708
75.0,0.8690193417034272,1.873313100999666,0.9403661235065665,0.588088784149445
76.0,0.8853070919579233,1.8990555245531546,1.3108351195041819,0.5919330772021995
77.0,0.8435697319307771,1.1898551921808649,0.9678118307074282,0.5862582777963335
