Lambda,acc,mse_nn,mse_lrr,mse_krr
0.01,0.9818,25.280048086734695,59.795828571428565,78.03391390306123
0.02,0.9821,25.813356760204083,57.685754464285715,78.8471400510204
0.03,0.9822,24.607626020408162,57.96213265306123,77.263625
0.04,0.9825,24.53165255102041,57.011393622448985,77.19805012755101
0.05,0.9818,24.344560841836735,58.11562410714285,76.03944846938775
0.06,0.9833,23.003360204081634,64.28289413265307,77.45007678571429
0.07,0.981,25.92629464285714,57.30628227040817,77.8165786989796
0.08,0.9824,23.69432168367347,58.88020357142857,79.10110369897959
0.09,0.9811,23.538813392857143,57.447898979591834,76.93421109693878
0.1,0.9856,24.148555357142858,58.45443367346938,75.4548325255102
0.11,0.9851,23.99376364795918,59.452351658163266,75.79656415816326
0.12,0.9841,24.535070918367346,58.736375510204084,78.18311147959184
0.13,0.9861,24.321748852040816,60.70806709183673,75.1769137755102
0.14,0.9837,23.543119642857143,59.80539234693878,77.77676198979593
0.15,0.9814,25.465489030612247,55.301274872448985,76.14835625
0.16,0.9862,23.477308928571425,60.754190051020416,76.68306466836734
0.17,0.9849,23.049422066326528,59.1789463010204,76.36556403061225
0.18,0.9851,23.30862984693878,57.50403150510205,77.80088520408164
0.19,0.986,22.746133035714287,58.396967091836736,73.88196109693877
0.2,0.9874,20.444791326530613,63.76324068877552,74.19037984693878
0.21,0.9862,21.06688392857143,63.811501658163266,72.0773862244898
0.22,0.987,22.295941454081632,56.185035459183666,75.94297525510204
0.23,0.9878,20.486602295918367,59.99737984693877,74.01497576530613
0.24,0.9876,21.555171173469386,62.002138775510204,74.71406237244896
0.25,0.9881,20.100130484693874,61.478594770408165,71.20609107142857
0.26,0.9881,20.774381122448982,58.7046306122449,74.40994119897958
0.27,0.9867,21.23610242346939,61.48214349489796,73.72362844387756
0.28,0.988,20.58175586734694,61.0444661989796,74.98976415816327
0.29,0.9866,21.1359262755102,60.900439795918366,74.6462198979592
0.3,0.986,20.500916454081633,61.48531288265306,73.43029375
0.31,0.9891,20.548680994897957,59.44366364795917,74.37771849489796
0.32,0.9899,20.391582653061224,62.80116734693878,72.24488839285715
0.33,0.9878,18.936726785714285,58.8926661989796,71.99646760204082
0.34,0.9881,20.160163010204084,62.68886849489797,71.76787015306122
0.35,0.9888,20.36174298469388,61.787462117346934,70.49040395408163
0.36,0.9876,19.632517602040817,62.087393622448985,72.66278086734694
0.37,0.9888,19.229877551020408,61.291170663265305,70.25252385204081
