Lambda,acc,acc_theory,mse,mse_theory
1,0.8405,0.8433,14.321744625611833,14.196658699446289
2,0.8475,0.8515,14.291173663532994,14.159233968275423
3,0.857,0.8601,14.210301959321297,14.08936445898835
4,0.87,0.8689,14.107303902218241,14.002600365058186
5,0.874,0.8796,14.121981201414274,13.979156484938766
6,0.89,0.8926,13.88701569267608,13.77274839029226
7,0.904,0.909,13.70631855656588,13.584212314526667
8,0.929,0.9327,13.259568602942757,13.158143772026552
9,0.956,0.9582,12.447680807663355,12.350438223861133
10,0.966,0.9691,11.827810582415431,11.754064934866864
11,0.97,0.9738,11.545379156293771,11.474608347334872
12,0.9735,0.9764,11.329535806092847,11.254879641838958
13,0.9745,0.9781,11.111060722326071,11.038098042408762
14,0.975,0.9792,10.960747406667151,10.887254499475649
15,0.977,0.9801,10.753024507056377,10.685120516188068
16,0.977,0.9807,10.72048327773728,10.646925115206017
17,0.978,0.9812,10.60279842470835,10.537592903197817
18,0.98,0.9816,10.452550479124191,10.385957789455333
19,0.9815,0.9819,10.377074721392109,10.314370594644366
20,0.9805,0.9822,10.3467325616475,10.286824477517078
21,0.9815,0.9824,10.264572021671585,10.197590876790187
22,0.98,0.9825,10.195625494754152,10.13343661922459
23,0.98,0.9827,10.178553944839594,10.094602439530917
24,0.982,0.9828,10.113333654591065,10.047977049230067
25,0.9795,0.983,9.999547932943928,9.933142551606842
26,0.9815,0.9831,9.988555898311944,9.921786685240086
27,0.9805,0.9832,10.036424671429964,9.960036367223001
28,0.9815,0.9832,9.847080091300244,9.789454234056826
29,0.9805,0.9833,9.848819149375991,9.770319803934239
30,0.98,0.9834,9.874764854218876,9.822114348809313
31,0.984,0.9835,9.807544412370426,9.74655757432551
32,0.9825,0.9835,9.882287231449485,9.823158923389345
33,0.983,0.9835,9.894716610203877,9.83251812690277
34,0.981,0.9836,9.800021124440606,9.739670731018986
35,0.982,0.9836,9.747174839909107,9.681573288123722
36,0.982,0.9837,9.828440527917166,9.771849971050726
37,0.9825,0.9837,9.762246641050988,9.707744610487994
38,0.984,0.9837,9.586431821595106,9.520897966748853
39,0.9825,0.9838,9.59541187213935,9.531202981242314
40,0.983,0.9838,9.704973238625055,9.633883148133128
41,0.984,0.9838,9.799796796707348,9.743715937139632
42,0.985,0.9838,9.668200614763023,9.605230905819438
43,0.9845,0.9839,9.652764517912882,9.601890582570274
44,0.9845,0.9839,9.601759156540403,9.542410922889232
45,0.984,0.9839,9.60716801163573,9.559139273309778
46,0.9835,0.9839,9.511862623621633,9.44872681317673
47,0.9835,0.9839,9.687909304807672,9.62743668783488
48,0.9855,0.9839,9.162477312659332,9.098996908776993
49,0.9825,0.984,9.692956853271927,9.632327562624937
50,0.9835,0.984,9.402642343497062,9.35199632449565
51,0.9835,0.984,9.567381393140913,9.504975427861485
52,0.983,0.984,9.62033610879136,9.556327421432371
53,0.9835,0.984,9.632285342757678,9.562434928489704
54,0.986,0.984,9.525599440189167,9.472216364091166
55,0.9845,0.984,9.453009176553376,9.392620328373518
56,0.9835,0.984,9.364212715962069,9.308593742765012
57,0.9835,0.984,9.40208824952279,9.32430652502833
58,0.9845,0.984,9.270013098851615,9.199067505638448
59,0.984,0.9841,9.593006488227596,9.535184103384136
60,0.985,0.9841,9.252283994771835,9.16433370721873
61,0.984,0.9841,9.354299898156473,9.299333630009826
62,0.9845,0.9841,9.374960026721777,9.31951473209769
63,0.9845,0.9841,9.456430523011653,9.365519348597259
64,0.985,0.9841,9.350170970454093,9.291614121207749
65,0.9845,0.9841,9.09468944275351,9.019615713748813
66,0.985,0.9841,8.974646796339028,8.913211857140851
67,0.984,0.9841,9.32626209592744,9.26765059799464
68,0.9835,0.9841,9.334059242381356,9.282849779604252
69,0.984,0.9841,9.329921489709633,9.261255247959
70,0.9855,0.9841,9.343653996444864,9.273680778982072
71,0.9845,0.9841,8.993676803313218,8.925955242999294
72,0.985,0.9841,9.342397418840637,9.279349522853398
73,0.983,0.9841,9.353229357322919,9.286844909111037
74,0.984,0.9841,9.278704425348398,9.209410957621765
75,0.9845,0.9841,9.224748705308437,9.142105753486899
76,0.983,0.9841,8.978526973282436,8.92120413456819
77,0.983,0.9841,8.636682139699214,8.549609079731244
78,0.985,0.9842,9.273358457891826,9.197440674783806
79,0.9845,0.9842,9.211199521217884,9.153387593189784
80,0.9845,0.9842,9.291438292590282,9.23359433450748
81,0.984,0.9843,2.641879003539333,0.6572758336350732
82,0.985,0.9842,9.359739598303864,9.302417338415953
83,0.9845,0.9842,9.159031993497232,9.10393037485851
84,0.984,0.9842,9.401895858675632,9.332009024244092
85,0.9845,0.9842,9.037285006614756,8.974240275335944
86,0.984,0.9842,9.0204038483842,8.972565189902433
87,0.987,0.9842,9.025042831468225,8.960204431439628
88,0.9845,0.9842,9.355515566294462,9.294912070080475
89,0.9845,0.9842,9.190814167341856,9.136420059613958
100,0.984,0.9842,9.136039394270776,9.07697044435731
