Lambda,acc,mse_nn,mse_lrr,mse_krr
0.01,0.8258333333333333,97.58475002712674,104.84667256673177,105.80666585286458
0.02,0.8641666666666666,90.66024929470487,105.49580573187934,105.2147939046224
0.03,0.8491666666666666,90.50392754448784,104.45407769097223,102.92185791015625
0.04,0.845,92.12310146755642,104.77994289822048,105.05485602484809
0.05,0.8508333333333333,100.27202534993489,105.70651163736979,106.31918131510416
0.06,0.8508333333333333,91.68667826334635,105.74207865397135,104.90778883192274
0.07,0.8516666666666667,91.5591559516059,104.95068203396266,104.60299662272135
0.08,0.86,94.57460998535156,105.66067403157552,106.32038038465711
0.09,0.8575,91.93489807128907,103.33736829969618,105.73515313042535
0.1,0.8683333333333333,91.24602945963542,103.79857760959202,105.45919358995226
0.11,0.8483333333333334,92.69211391872831,105.33303548177084,104.65522372775607
0.12,0.8541666666666666,90.99820746527779,105.48315253363717,106.4260543484158
0.13,0.8625,98.71082621256511,105.57422709147136,104.70602708604602
0.14,0.8466666666666667,89.99945685492622,105.39338921440971,105.35602634006077
0.15,0.86,94.12337992350261,105.24800693088106,105.28448493109809
0.16,0.8525,95.92175509982638,104.55991719563802,106.76266621907553
0.17,0.8408333333333333,94.97065761990017,105.28059265136719,105.23391608344185
0.18,0.8633333333333333,89.81054246690539,105.19071560329861,103.35905565049914
0.19,0.8658333333333333,89.83545776367187,105.61281446668836,105.92866170247396
0.2,0.8666666666666667,92.59937615288628,105.26104736328125,105.05511847601997
0.21,0.8558333333333333,92.85238457573784,104.15598015679252,103.96292744954427
0.22,0.855,88.83544962565104,104.02143222384981,107.34634806315104
0.23,0.86,93.3271415201823,105.31923428005642,104.88137959798178
0.24,0.8516666666666667,89.92326707628038,105.29663492838542,104.50420335557726
0.25,0.8291666666666667,93.39602138943143,105.52574761284721,106.16251708984375
0.26,0.8433333333333334,89.68375196668838,105.14253777398004,104.95892686631946
0.27,0.7958333333333333,91.65728868272569,105.21391086154514,106.30992621527777
0.28,0.855,94.49958679199219,105.00900634765625,105.14419467502171
0.29,0.8666666666666667,90.95630174424913,105.14396423339844,107.95937052408854
0.3,0.8591666666666666,91.18290011935763,104.08404880099827,103.70143961588542
0.31,0.8516666666666667,87.82114501953124,105.9804833984375,106.26572353786894
0.32,0.8341666666666666,92.41860683865016,105.6628616672092,106.52938754611546
0.33,0.8516666666666667,96.62230828179253,103.90259033203125,106.27706149631075
0.34,0.865,91.37377014160157,104.50612209743923,105.54419752332899
0.35,0.8433333333333334,89.85925632052952,104.57011237250435,104.68828409830729
0.36,0.8675,87.16599385579427,105.42154337565104,105.98661526150174
0.37,0.8683333333333333,88.74904534233941,104.13772128634982,105.22808898925781
0.38,0.8633333333333333,89.42408881293403,104.10316067165799,105.4460131157769
0.39,0.865,93.48701300726998,105.67601440429688,105.08890197753907
0.4,0.8533333333333334,88.61509541829427,104.80952162000868,103.76317504882813
0.41,0.8733333333333333,89.24596130371094,104.94107476128472,105.21818216959636
0.42,0.8575,88.13805942111544,103.23811197916666,107.35840176052518
0.43,0.8608333333333333,93.07107849121094,105.00027126736111,105.30057169596354
0.44,0.8575,87.15302313910591,104.4599292670356,105.55261935763887
0.45,0.8516666666666667,96.83242445203992,105.66361823187935,106.12725280761718
0.46,0.8766666666666667,91.67951782226562,104.76935580783419,107.00926744249132
0.47,0.86,87.06744567871094,104.44462910970051,105.99114868164062
0.48,0.8,93.32284681532118,104.41856241861979,108.00434088812935
0.49,0.8641666666666666,90.49344245062935,104.5665791829427,105.93188442654079
0.5,0.86,87.81129570855033,103.65300259060331,104.18497287326389
0.51,0.8625,88.59788072374131,103.13847717285157,106.05564921061197
0.52,0.8658333333333333,92.1502532280816,105.10623406304252,105.3099181450738
0.53,0.8033333333333333,94.70529893663193,105.65568657769096,106.03741190592449
0.54,0.8658333333333333,88.59769707573786,102.87811333550347,107.55995191786025
0.55,0.805,92.70649509006076,105.61216600206163,105.5136888970269
0.56,0.8733333333333333,100.63148288302952,103.64012593587239,103.30915934244791
0.57,0.7925,92.31234313964843,105.33460781521266,105.57349209255644
0.58,0.8541666666666666,89.40101365831164,103.53042419433594,104.38816677517362
0.59,0.8583333333333333,93.45393222384982,104.08530598958333,105.13404941134982
0.6,0.5858333333333333,89.79010213216146,104.40785637749565,104.80638075086807
0.61,0.8283333333333334,91.90829115125868,105.30225043402778,107.26811794704862
0.62,0.7733333333333333,95.10620239257813,105.39103556315104,105.62619384765625
0.63,0.86,89.91537889268665,105.38950208875868,105.73722819010416
0.64,0.8541666666666666,93.93181857638889,104.06690063476563,105.13463568793404
0.65,0.8225,92.2880796983507,104.70952826605902,105.55334255642362
0.66,0.845,94.43172492133246,103.17557264539931,105.81873738606771
0.67,0.8616666666666667,87.76786180284289,103.00064459906685,104.85578701443143
0.68,0.7975,95.55197279188368,105.55806945800781,105.64428751627604
0.69,0.8316666666666667,85.6347425672743,101.77957607693142,102.50955790201823
0.7,0.8616666666666667,85.96543619791667,103.15129374186198,108.20030354817709
0.71,0.85,86.23386915418837,104.76340962727866,106.69638685438369
0.72,0.8625,88.22170918782552,103.47233425564237,108.94590501573352
0.73,0.87,90.44580525716145,103.73090732150608,105.58657158745659
0.74,0.8433333333333334,87.1619918484158,103.99889811197917,105.92113172743056
0.75,0.855,85.67384684244792,103.0905793592665,105.42196451822916
0.76,0.865,87.81783216688369,102.78892706976995,103.24883748372396
0.77,0.87,85.57890489366319,104.8675484890408,105.71644538031684
0.78,0.8575,86.74687649197048,102.33401034884982,106.10823350694443
0.79,0.8591666666666666,86.49091037326389,103.46119710286459,103.87078837076822
0.8,0.8541666666666666,86.60521321614583,103.44085171169705,104.96193088107638
0.81,0.865,87.93286912706164,102.94840440538195,102.96103481716581
0.82,0.8741666666666666,88.0583994547526,102.73174099392362,109.66192145453557
0.83,0.8625,90.79565734863282,104.09626519097222,105.00741468641493
0.84,0.8533333333333334,84.5848545328776,102.5412824842665,104.53522623697917
0.85,0.865,86.09143161349826,103.82581488715279,109.21489752875434
0.86,0.8616666666666667,91.17037760416666,102.54997565375434,102.23888231065538
0.87,0.8641666666666666,87.07706448025175,102.5579576280382,105.98233574761284
0.88,0.8566666666666667,89.25873175726996,102.3923141140408,100.68480041503906
0.89,0.8625,85.90883639865451,104.38065578884549,108.07639472113716
0.9,0.87,85.95929578993055,102.93137274848091,108.31680704752604
