Noise,acc,mse
0.1,0.9005768578215134,0.00499560626223516
0.15,0.9009161859518154,0.011253062565519414
0.2,0.8652867322701052,0.020019182162896217
0.25,0.8785205293518833,0.031254150369080386
0.3,0.8948082796063793,0.04505956118556227
0.35,0.8741092636579573,0.06134229764381233
0.4,0.8734306073973532,0.07986015689843468
0.45,0.8564642008822532,0.10121335333734091
0.5,0.8686800135731252,0.12490093788228562
0.55,0.835086528673227,0.15138873505580983
0.6,0.842551747539871,0.18047779291422392
0.65,0.8282999660671869,0.21194552568254368
0.7,0.8160841533763149,0.24448785978993237
0.75,0.827281981676281,0.2806523631319392
0.8,0.8065829657278588,0.3200765428924955
0.85,0.7991177468612148,0.3624426708086651
0.9,0.7736681370885646,0.4052860255022954
