Lambda,acc,acc_theory,mse_krr,mse_lrr,mse_nn,theory_mse_list
1,0.952,0.9554,37.014853265595335,41.082727250198474,41.082727250198474,34.89810294387506
2,0.9805,0.9835,51.832351795058614,51.760469604416464,51.760469604416464,48.625784599710606
3,0.9615,0.9883,108.2212796430762,107.97311102899081,107.97311102899081,106.41406215885621
4,0.9995,0.9999,59.1575773122322,57.19482699747865,57.19482699747865,55.900015921413846
5,1.0,0.9997,59.59163274283029,59.80259588354224,59.80259588354224,57.25733177853409
6,0.9995,0.9996,76.41843483149086,76.45275393429115,76.45275393429115,71.5565399749313
7,0.9995,0.9995,54.33128226875721,55.78994831139059,55.78994831139059,51.8325247241245
8,0.992,0.9905,90.68059759216385,89.09526468224809,89.09526468224809,87.36978002014098
9,0.9755,0.9813,54.629253053065504,54.06379443267025,54.06379443267025,52.3712876276874
10,0.9915,0.9887,57.599187324978885,61.935897266850866,61.935897266850866,53.061228884249964
11,0.9995,1.0,45.64477100254853,47.66571632603891,47.66571632603891,42.8951284403902
12,0.9965,0.9983,49.14833016680795,47.74752677855338,47.74752677855338,46.21942493409369
13,0.9165,0.9263,221.75660897830403,206.83087747419,206.83087747419,203.03076848010113
14,0.994,0.9954,136.8875060710977,129.38332344277032,129.38332344277032,127.66385859075774
15,0.9995,0.9995,50.33999799867747,58.76665583793708,58.76665583793708,48.78175579522487
16,0.9995,0.9998,61.39636453538351,62.27344438728892,62.27344438728892,58.76176290996139
17,1.0,0.9999,62.79697148852052,59.81117015333568,59.81117015333568,58.866147228631114
18,0.9655,0.9888,97.6375907848418,94.09697762498423,94.09697762498423,92.55518126318549
19,0.9825,0.9969,262.07884084427843,257.87599752751913,257.87599752751913,255.44929123747107
20,1.0,1.0,62.406572771700795,62.09399207346289,62.09399207346289,57.993358115877825
21,0.997,0.9997,55.1483216303733,55.60738263266091,55.60738263266091,53.47723235906557
22,0.962,0.965,80.13264920293403,93.17543032154536,93.17543032154536,77.87569743859851
23,0.999,0.999,45.465601394326306,48.539424388838825,48.539424388838825,42.49782832449931
24,1.0,1.0,97.26424407882654,92.75900220046695,92.75900220046695,91.32308410214452
25,0.986,0.9874,55.22843504864367,56.027430689407204,56.027430689407204,53.004770183532756
26,1.0,1.0,77.81820316084762,77.07157416574488,77.07157416574488,74.25886259348879
27,0.986,0.9876,188.1277861384495,189.78304903514788,189.78304903514788,184.29904890553962
28,0.9995,0.9993,68.08354952749447,70.09014614264848,70.09014614264848,65.42592036236402
29,1.0,0.9996,52.35324755922215,51.56503446840142,51.56503446840142,48.78882396895916
30,0.9985,0.9993,86.24307264358511,85.76349692286468,85.76349692286468,84.28420710426498
31,0.997,0.9969,171.4473417027616,171.9864732769574,171.9864732769574,168.62654491068503
32,1.0,1.0,71.81961221902233,72.99807729810695,72.99807729810695,67.95328295592537
33,0.999,0.9995,61.441546125307696,60.296901078754544,60.296901078754544,56.928139377358335
34,1.0,1.0,106.92971872311566,101.45471897475616,101.45471897475616,99.83783680446595
35,0.9935,0.9996,102.56951068527118,97.63265126534519,97.63265126534519,96.19494109460078
36,1.0,1.0,66.82211306896409,67.065030345963,67.065030345963,64.39603388150692
37,1.0,0.9999,111.0382955000504,110.87313062028609,110.87313062028609,108.29806263904314
38,0.9985,0.9986,62.797935423560325,66.10522342141482,66.10522342141482,61.218635615033136
39,1.0,0.9996,66.54836196392824,63.4931746779102,63.4931746779102,62.24460226613989
40,0.9755,0.9788,102.9110788175417,96.50662661075819,96.50662661075819,93.68084395505343
41,0.981,0.9782,61.74616288931064,56.50753032557807,56.50753032557807,53.91527091209385
42,0.9995,0.9985,76.81205195585807,74.59454553642702,74.59454553642702,71.94782728612925
43,0.993,0.9968,214.06339255747199,219.57761415288908,219.57761415288908,211.1983584327661
44,0.9915,0.9941,51.70850925647729,50.44892623928456,50.44892623928456,49.06090056424309
45,0.999,0.9997,152.63791491276393,153.5016029358528,153.5016029358528,141.4179554885294
46,0.998,0.9986,62.09948802802201,64.96173789566225,64.96173789566225,59.6120642385744
47,0.987,0.9917,83.02631607749666,84.196486541944,84.196486541944,78.98026397015184
48,1.0,0.9998,63.14463418814137,63.16357999177903,63.16357999177903,60.94521963951268
49,0.999,0.9995,55.643800250453964,54.49020706998435,54.49020706998435,53.16559915242601
50,1.0,1.0,62.76425152966264,63.63538865199694,63.63538865199694,59.49032572322595
51,0.9995,0.9999,76.3433459480989,76.54288379294823,76.54288379294823,72.6352094943428
52,0.9995,0.9994,115.837501876016,109.96622454614109,109.96622454614109,105.64276551673319
53,1.0,1.0,56.67436728202478,61.16085209649689,61.16085209649689,52.29122041219768
54,0.999,0.9985,273.05865549994047,272.02782612374136,272.02782612374136,269.4207076720122
55,1.0,1.0,58.70331809360876,59.79743082475176,59.79743082475176,56.153264237467454
56,1.0,1.0,44.75026946352464,42.89961236873908,42.89961236873908,40.84310995129334
57,0.986,0.9859,238.755044562928,221.59006681863696,221.59006681863696,215.39639604680377
58,0.9995,0.9999,90.34428370569059,88.0951612537287,88.0951612537287,86.67568093479883
59,1.0,1.0,51.35097860983088,51.662588393405095,51.662588393405095,48.658908017419606
60,1.0,1.0,117.38422838375931,109.17805961596272,109.17805961596272,103.3867068698508
61,0.992,0.9941,63.73392530821581,63.98776788044628,63.98776788044628,61.12216432680791
62,0.9785,0.9789,53.12466372275044,50.550437924841965,50.550437924841965,48.28522832588176
63,0.9865,0.9838,224.39073981041548,223.28944301512695,223.28944301512695,221.04037230698344
64,0.9895,0.9908,69.56209138361871,82.69738480909993,82.69738480909993,62.41464466293306
65,0.9995,0.9998,126.29478393278904,118.13599224425457,118.13599224425457,116.70697708351676
66,1.0,1.0,58.35258189445703,58.45878359307804,58.45878359307804,55.06264262591925
67,0.998,0.9983,136.60872380417842,152.56735141227534,152.56735141227534,130.54435114800418
68,0.996,0.9974,151.84249485538464,166.80749337785335,166.80749337785335,147.8332896743695
69,0.999,0.9999,132.89879030251072,117.63355441696135,117.63355441696135,115.832923143863
70,0.994,0.9925,97.52131050523316,105.76899087353029,105.76899087353029,93.27951854328494
71,0.9875,0.9897,83.4896250840163,86.96957057388575,86.96957057388575,79.05898973022792
72,1.0,0.9996,43.967263738512976,45.51654278005022,45.51654278005022,42.28548358810253
73,0.9995,1.0,86.86837912380838,84.67963283837575,84.67963283837575,82.35539654576353
74,0.988,0.9913,58.83937088192122,70.05021921988514,70.05021921988514,55.66094328648269
75,1.0,1.0,61.55326036004714,62.538543837711856,62.538543837711856,59.65073355649177
76,1.0,1.0,41.94396084241904,41.959290134014914,41.959290134014914,39.46594398347325
77,0.9995,1.0,53.02273511380969,55.98656031069463,55.98656031069463,50.210301476531725
78,0.9885,0.9928,99.58773052689206,104.9262232769324,104.9262232769324,96.77624574961499
79,0.9985,1.0,116.75475003847512,123.969429945988,123.969429945988,111.82725495879313
80,0.9995,1.0,159.58535425016228,160.7444436739054,160.7444436739054,157.38791488032612
81,0.9995,0.9993,48.957646024642806,49.576197580282034,49.576197580282034,46.11547366845409
82,1.0,0.9999,240.11487370804144,241.24731848900672,241.24731848900672,234.82873984860134
83,0.9925,0.9999,93.08258827365763,89.89011476591527,89.89011476591527,83.16014959425803
84,1.0,1.0,60.03869135806717,59.22900056161861,59.22900056161861,57.166268770439295
85,0.997,0.9983,163.8385727057468,167.4795689729485,167.4795689729485,159.31886306059766
86,0.975,0.9761,187.84697059955064,197.72189973413228,197.72189973413228,183.5253997691383
