Lambda,acc,acc_theory,mse_krr,mse_lrr,mse_nn,theory_mse_list
0.01,0.9765,0.977,38.335098837413916,27.114708273215815,40.63954953488303,27.176769430865637
0.02,0.9995,0.9992,49.76891517770254,34.89240758815782,47.133558241416075,34.92593698872252
0.03,1.0,1.0,39.135208997202646,33.82299942721929,45.27673422735763,34.16737378353778
0.04,0.9645,0.9666,42.94569859810329,31.668911496832376,58.153401493046005,31.790158101985106
0.05,1.0,0.9997,39.75053689861952,31.127061927980517,48.13716135528524,31.091296578939023
0.06,0.984,0.9846,35.29044590584761,28.746917543623773,43.58975516815143,28.831429305078018
0.07,1.0,0.9999,43.95686998233317,30.236198979970478,47.23376416376202,30.52329985107444
0.08,1.0,1.0,38.29090334969347,31.87773893039475,43.131363845465835,31.87333932140599
0.09,0.9995,0.9993,38.99161276783665,33.173932084009664,51.49036830841163,33.21230304958064
0.1,0.973,0.9744,46.7110767310918,30.232550149495076,43.52547095226121,30.343786119099185
0.11,0.999,0.9997,42.336978412563205,34.84679936149111,47.11090187583995,34.785898726399296
0.12,0.9975,0.9984,42.6941240977018,28.487858386993405,44.96853650076949,28.3854343785544
0.13,0.9905,0.9913,35.817752555637,28.130880686765398,36.9939900760032,28.120248905469424
0.14,0.9995,0.9991,43.12938903336493,32.9214217385199,39.98961942823264,32.8993081283576
0.15,1.0,1.0,39.24404703686701,31.078124538923955,47.05059267555356,31.112633528705103
0.16,1.0,1.0,34.84769537922641,30.28095927951431,42.69781644656774,30.221292625122487
0.17,0.9905,0.9896,40.16525478503952,30.29731065382363,47.437521767160696,30.359505358145658
0.18,1.0,1.0,34.89411704068634,27.95092999734231,49.36773283049197,28.004167224397534
0.19,1.0,1.0,38.71843791821982,27.52170914740952,44.96325050698125,27.66145330473578
0.2,1.0,1.0,38.061253253480096,29.529452453377687,40.37554835276783,29.54459662204315
0.21,0.9995,0.9995,42.09285912371901,31.912970571139137,46.996625891896144,31.923235191703373
0.22,0.9985,0.9993,34.851279827929076,27.97808493760813,44.9716316038939,27.99974728195935
0.23,0.9715,0.9725,37.975667540896346,30.27149794784357,52.08686246402305,30.37591756798789
0.24,1.0,1.0,33.93540145180213,23.610219823889455,35.319810542879715,23.90710155812959
0.25,1.0,1.0,44.97991012949696,34.953600956420935,44.210815539763345,35.01543617100753
0.26,1.0,0.9993,36.29370651648542,28.83304218937166,35.09095813421567,29.004963736122388
0.27,0.9965,0.998,51.30958188192089,34.584140467063186,44.86990070625611,34.58181170840933
0.28,0.9995,0.9998,35.38256860584971,27.30864146891737,38.54782576656123,27.389660984232464
